SentenceID,Formality,Sentence
32204AGAAABKWQW3MSNX4LFD3OQGH1,5.4,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009."
306W7JMRYXXVCYNZ321DQXVHKS8B80,5.6,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009."
3MDWE879UG1VQ3698U7RQTQS4YQB9P,2.2,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field
3QGTX7BCHO187E7DBIAD0VST95T5ZY,3.4,"2Ares I First Stage Motor Unveiled on July 20, 2009."
3NOEP8XAU31NVTPHUFV61GHZS5VXPE,3.0,2) Create a story about in in 6 words.
3ZLW647WAKUFNOHX8SD6YNK2A0332Y,3.0,2) Double click on New Printer.
3J06WJ78HMJ8WOHIGC3NJN9WYIOVVU,1.8,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?"
30IRMPJWDYI2N66P8OK6GH9CXE4KR4,2.0,2. Is the cave of the winds hard to walk?
37Y5RYYI0O4K8L59MWZ0WLMAFP2SXP,1.2,2) Just wipe the Mac OS X partition when u install the dapper.
3R5OYNIC2B8GECGXP5U9CDWTF97PTN,3.6,2) Marty Peretz apologizes to Matt Yglesias.
38O9DZ0A61MEK74FRUB45QWMKR5627,5.8,2. Select Network Printer and use the listbox to choose HP JetDirect.
32CXT5U14F2A8XW53TI8VNN59DF8UE,2.8,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here."
372AGES0I348765W77ZV6BHETNJXR6,1.4,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu."
3IJ95K7NDWBC6MIEPQIA95C9P0ZGNA,1.2,2. What the hell isn't he talking about?
3XUSYT70IS0696GGMUF4S8DZ4F80D9,2.6,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address."
3SD15I2WD1T35P0YVUP9O01EQ5563I,1.4,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?"
3ICOHX7ENBAB1CUGIPQOYQVK4R90E2,5.0,3.) Chamber of Commerce chief battles Obama.
3087LXLJ6LF37QUCD0AUG8GKGSO0FK,3.6,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward"""
3MQKOF1EE1NZHWH1F18PZ3M35KNDWO,3.8,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle."
31S7M7DAGFPQNR1ZXD12VWN9AZ7LTM,3.2,"3) ""Great beer and great wine are on the same team."""
3FHTJGYT8MZC97UR55V2DUH4PF0GP6,2.0,3. i believe you just press CTRL+(click)
3RSBJ6YZEBPOA7MVFLC569C2EV4OFY,3.6,3. In the Host box type the IP address of your printer.
3X2LT8FDHVHN01LAYTX9DB82UTQ8WD,3.0,3) Purchase a new 2 button mouse..
3RTFSSG7T75IF85TSI6DIGU8ETPLWC,4.2,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")"
3TKSOBLOHKFEEWL66ELNHZLISYTBBZ,3.2,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here."
3SD15I2WD1T35P0YVUP9O01EQ5536F,2.2,3) We choose a winning 6-word story.
3FTID4TN8KXM4D0T7JO13DFOP1PLYB,4.4,3. Will the threat of a lawsuit do anything to the Palin camp?
39XCQ6V3KX36J4N29DD23XZY41W658,2.4,"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this."
3AQN9REUTEF361C1U2QDK07JGSNDYN,2.6,4-Albany NY has a great museum
36FFXPMST8N8O3D1AB059UOFUAHOHW,2.8,4.) Are washing machines the new water savers?
3KI0JD2ZU0HL681LX6SZ1HDUV7R67N,4.8,4. Click Forward.
344M16OZKHEEM8MNJVSM92RXCKJNEZ,3.2,"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing."
3KTCJ4SCVF09KP7BV6I7P3J3IL6M1G,3.0,"4. In the ""host:"" box, type the IP address of the print server."
3PCPFX4U4ZPRVJZBUY49VE72TWLFQW,4.8,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona."
36FQTHX3Z2Q9B1HTRL6HZGN646G3B0,3.6,"4)Please, do not take the train."
3JUDR1D0D5Q7UPNZ63P2BVDDKSGQ2N,3.8,"4) The story, along with the object, will then be auctioned on eBay."
3SNR5F7R91SM87BWMFFU4UVGQLPIEE,5.8,"4) ""We find no clear relation between income inequality and class-based voting."""
3X2YVV51PT35P11PZ8OUY1LUGNJW1G,1.6,50 kb/s doing Scottsdale.AZ server.
3RBI0I35XD25O9A41DK17RL7PFXY39,2.6,5.) Harry Potter sports an environmental audit.
3B9XR6P1WDUKWFJIU6Y4FN4V032BJK,3.0,5. Leave the Port as 9100 (default for me already in box)
3D7VY91L64WAXNP3X3BWVFWC4XXBMO,2.4,5)Many spas around- try the Mirror Lake Inn
3OCZWXS7ZN6O2PQ9WHJ4SGHVUWKL5U,4.4,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket."
3VO4XFFP14LEGQK5CF6X7MULV82Q73,2.6,5) The winning six-word writer gets to keep all the loot.
3QHITW7OYN8WZSI3JIIHHDWBWG8QAU,1.8,"6:13: So far, we've had a mummy, a cowboy, a ladybug...."
351S7I5UG8VMXO8FXW3D6I4PHSGJNH,5.8,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft."
3IQ9O0AYW5YOXQTTCA4P3GVHTVCTIF,3.2,"6. click the ""Forward"" button"
38DCH97KHG170LL7DOVUACZUM33JQ4,1.4,"6) Fun, right?"
368IUKXGA47ACE5LTSMG134FV1X6PU,3.4,"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few."
3Y3CZJSZ9JSZ5NLM11G0ESQU0OAR5R,3.4,"7:16: We've been honing our act, and we finally got 4 little girls to laugh."
3W9XHF7WGJUF3LJHCDP1GWAULZ1TKQ,4.8,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions."
33TGB4G0LOGLNLIOBW4Q6QIWH8HTXG,4.8,7. Select the Printer manufacturer and the model from the lists
3K2CEDRACA0AT9JKXP2HV92YA4WTMV,2.8,"8. click ""Apply."""
33QQ60S6ARHSQ8R28P5T28HNQF3U0D,3.8,"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand."
3RTFSSG7T75IF85TSI6DIGU8ETPWLN,4.2,"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt."
34KYK9TV2Q7DVI28H07I7OVIWMFBS0,4.6,"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache."
3DTJ4WT8BCE83X06MJ3G4PY6MYSZET,2.4,A 2 room suite or adjacent rooms is great.
329E6HTMSV1A44LNXYJAYJ6WR0P3KK,5.0,"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush."
3CESM1J3EH20WN2M5E0BTXCBOY06WP,4.6,Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.
3OZ4VAIBEWEZ5THOZNP4GZY23VIJVY,4.4,"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process."
3QQUBC64ZDDNS8D4E0IEXRC4SQUNX8,6.0,Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.
3D0LPO3EAAYUAY3QKB4TVUJIK6UOYV,6.2,"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket."
39O0SQZVJM6ESRZ5PUVXCC4QRU5R76,4.4,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday."
360ZO6N6J0IR9UA6ZJX0491MGXU9MC,4.4,"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired."
3BA7SXOG1IPIS54OZZN3QC0L2EBR8T,4.8,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.
35JDMRECC388CG51WRFRJII0B8YEGJ,1.0,A BIG THANKYOU GOES TO holli!
3XDJY5RK5RK9PW93RQSVEB707RJU4T,4.6,A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.
356ZPKYPUGGCVYFRZBH8KUO8UBPYPL,4.4,"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car."
34YWR3PJ279K7CLXDUGGMFGRKXK0XB,5.0,"About 40 guests were at the Halloween party, aged between 59 and 77."
34O39PNDK571U32V2B7DHEQMAKWRBS,5.2,"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months."
3MQKOF1EE1NZHWH1F18PZ3M35KMWD6,4.8,"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District."
3PKVGQTFIGJX7BV6C3LXPPONVTDYRD,4.2,"About 75 percent of members voting nationwide rejected the deal, one of the people said."
36KM3FWE3QBQSXF6VHCISG33I4570N,6.0,"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday."
3K2CEDRACA0AT9JKXP2HV92YA5ATMB,3.6,"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more."
378G7J1SJKX492V1BWJ95L4O5WNWEZ,5.0,"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence."
341H3G5YFZD9C7LCEC41J0W2SXI0Z8,2.4,"about wifi-radar: it shows me the same networks as network manager, but it does a better job of getting connected to them."
3JHB4BPSFJ8IU98YRC4HLILRQYR9QZ,4.0,"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs."
3LG268AV375Z16EFC293IMW7DH9RES,5.6,"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination."
3KG2UQJ0MIN3JBCSSMNM3JGBVN7QNE,5.6,A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.
3CRWSLD91J3UGHEC18GI1ZWBBWGMO3,4.6,"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District."
3P888QFVX2TL1WC4T1NZI8GGLXCQOT,4.8,"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race."
3BPP3MA3TBJOY8J27IC7WAN87PKELP,4.6,"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . ."
3VJ4PFXFJ26ORLPK0R2MRET0Z1FUA4,3.8,"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag."
3G57RS03HG4I1341MB1ZDKIMOWV25O,3.4,"According to Environment Commissioner Egbebike, local residents have also contributed to the problem."
3SV8KD29L3RBPXSGI5EJ2KBB6VOZKD,4.8,"According to Google, Social Search will enhance the search experience on Google by providing users with more personally relevant search results."
3CIS7GGG64IRHY6WGW48NXJRKGDUEZ,4.8,"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused."
3W1K7D6QSAGAWUOMCS1Q3HSLJ1FBZ5,5.2,"According to insiders, the real ""This Is It"" plan was not a single film, but a three-year rollout to rehabilitate Jackson's deteriorated image."
31SIZS5W58EOY94KLT43C3LLWKWQR2,3.6,"According to my correspondent, this is a unique chance to sample home-style traditional Polish fare, including white borscht, pierogies, blintzes, golambki and much more."
3XD2A6FGFMTU7PNBJGTMGI0S8MC9SO,3.6,"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy."
3W5PY7V3UO6G9NCT4YCONY2WLCKJY7,3.2,"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market."
3VLL1PIENPNUFODVGX6C91SKQ0YZOX,3.8,"According to other forum posts on the web, someone was able to get this working on Cingular with the proper init/dial string, but this would be specific to the provider."
3HXCEECSQLS692HXMKFABSQM4AWYZ6,4.0,"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia."
3IZPORCT1E8BLG5H23H93PTK5X1RH8,4.0,"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent."
3W0XM68YZOUEU178AU5RAQRZTGBK19,4.4,"According to the complaint, Yee did not make any trades himself."
33W1NHWFYGKASGI3CESB3BY7P8FZTJ,4.0,"According to the News, ""When the nurse called for a student Thursday morning, Nikiyah's teacher misunderstood and sent the wrong student, [NIkyah's mother Naomi] Troy said."
3MD8CKRQZYM7CM07Q3KUF29ZIP5RJD,4.6,"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home."
3UZUVSO3P6U84Q1N7UDMWN2X7UAEMR,2.8,"According to this guide:  http://www.askdavetaylor.com/how_do_..._mac_os_x.html  I just need to add ""defaultos=macosx"" to the /etc/yaboot.conf file."
3SU800BH85RGE1W1PNZ8HE853J0QU6,6.0,A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.
3GL25Y6842THAQS42Z3EKCN4N0LMX8,5.0,"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B."
341H3G5YFZD9C7LCEC41J0W2SXHZ06,4.4,A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.
39RRBHZ0AT0P58MSH9SQ4TMSMTVZVZ,5.0,A complete experience will unfold that will be interactive and convert to new revenue streams.
344M16OZKHEEM8MNJVSM92RXCKKENR,6.6,A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.
3Y3N5A7N4F86AVIE7VPG3QUDP6FMYE,2.8,"a couple of friends and i decided last minute we wanted to come to Ney York for New Years and the only hotels available are in Flushing, are there any subways near the hotles ion Flushing that will take us to times square or close to that?"
3X878VYTIDHHP1UWYZV3VNQ7O6U7FR,2.2,A couple of Marriotts just opened.
3J9L0X0VDELNE64K3L3ND73DEZ89W3,2.2,A couple of things to note first: You need Alien to convert the RPMS.
3YLPJ8OXX7C1603YWV3IYI64190X4O,4.4,"Across Yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years."
3HXCEECSQLS692HXMKFABSQM4AXZY8,4.2,Activists dump tonnes of coal in Vattenfall protest (28 Oct 09)
3QD8LUVX4WXJ2J7YA0MS3ACI15VX5T,4.4,"Activity through October in each of the world's six cyclone basins, from the North Atlantic to the Indian Ocean, has been at or below historical levels."
3K3IX1W4S5QBZGHOJ53SH861RKNPA3,2.8,"actually: do you (or anyone else here) happen to know whether it could work to simply write a udev-rule that executes a script on ACTION==""remove"" that spins-down the harddrive?"
3M7OI89LVXNRIPWHON0AH358WIIC6M,1.6,actually it was an xorg.conf problem.
391FPZIE4BL318XY6XCE80G4CW5HU2,1.4,"Actually, LOl, it's a really old one, like 32 mb kinda sad really, this thing belongs more in a museum than in a school."
34R3P23QHR0GTCM31XRFQO11XCGHW1,1.6,"actually, now that you mention it, i think it does only crash after exiting if i have tested the presentation.."
3IZVJEBJ69J4QI7RG1KIS16T503Z67,5.4,"Adams, appointed in 2003 by then- Gov. Rod Blagojevich to lead the state's chief social services agency, was set to join the Department of Commerce and Economic Opportunity's Office of Trade and Investment in a newly created role as the ""Illinois representative to Africa."""
3I01FDIL6L7D5GJU1HJIBW6E1DT2DW,5.2,"Adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected."
3ULIZ0H1V94BCIM5371L818HWQH51A,4.4,"Adams says Chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship."
3SR6AEG6W4SKIHH3GY93BLMH8KGHY0,1.8,"""Add a printer"" dialog should show up now"
359AP8GAGFJAMPAM7X52NH54RT2C7L,2.2,ADDED: I swapped in a slightly different pic.
3AC6MFV69JHKN7R8CKBMPSVJEEKHZR,3.0,Add the following lines to your /etc/modprobe.d/blacklist file:
3ZICQFRS30H6ESR2I6HTPZZOA41ZZZ,3.4,"Add your shots to The Consumerist Flickr Pool, and perhaps they'll get featured in a future story, or even highlighted in a Friday Consumerist Flickr Pool Finds post."
30UZJB2POGB7ML0KQBF4WUNEUAV532,3.8,"A different display driver is used during boot, hence the fact that you see the Ubuntu boot splash, but not the Gnome log-in manager."
3W3RSPVVGRQ5N4GOXIRC0S9BTDEULM,6.4,Adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.
3PUOXASB562R819PE8NUCBXVV1C9ZT,5.2,"A diplomatic source said: ""Lord Ashcroft was part of the official party that was organised by Her Majesty's Opposition. His inclusion in the party certainly raised a few eyebrows in Washington, because he's a controversial figure."""
3126F2F5F72EPTY0ZA5EDRWSCZLPEY,2.2,Admission to house; grounds free.
3IH9TRB0FAYNO6HKARKFXACM1CMI1W,4.6,"A Downing Street staffer said: ""This is being taken very seriously. Diplomatic channels in the Foreign Office are working behind the scenes on David's behalf."""
341YLJU21HYUDRZGTVKT2TMRTI0I2D,4.6,"A dozen of the 50 Wal-Mart stores in Massachusetts, including the one in Raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year."
3VDVA3ILICE9SFBPK3KCCYZ6MZU1GN,1.4,"AFAIK, Linux doesn't use extensions to recognize the type of a file (I guess it uses MIME)."
3WYZV0QBFICLRZO7BAD56WCAB1HXBU,3.0,"afaik ""remove"" in udev means unplugging the device, so trying to spin down the hard drive then would be useless."
3VEI3XUCZQW3YX35LGPECYVBROBRPD,1.2,A Few Buck the Trend
32L724R85KJQ5Y0MVTV5Y6UK4SSPI7,4.2,A few companies have decided to buck the trend by not offering any employment contracts.
3VGZ74AYTFFTFILN009WTUIXQWLCGO,1.8,A few days ago we got Motorola's Droid in the mail.
3WJGKMRWVH8Q3YBWYA8ON9F0D46DCG,4.2,"A few hours from now, tens of thousands of runners will hit New York streets."
31SIZS5W58EOY94KLT43C3LLWKXRQ4,3.6,"A few of President Obama's top advisers, as well as one or two rare guests, sit down on the network sofas this Sunday."
301KG0KX9BKUHWOWND282HLCT5M2H5,4.4,"A few weeks earlier, one of Lozano's family members mockingly held up an official-looking document in Spanish, Hebert said."
3PIOQ99R7XLVB4J99V7RDKD0Y8EUNO,4.2,"A few were Maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid."
3VGET1QSZZYJ0NGROO53ZBC7J9L7WQ,4.8,"A few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school."
337F8MIIMYCT9AXNTJEBP4JTR2F400,5.6,Afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.
3SZYX62S5FZPN417SNIU9BZUZCH577,4.6,"Afghan intelligence chief Amrullah Saleh said Afghan authorities had advance information that a Taliban attack in Kabul was in the works but was expected it during rush hour, and officials were unsure of the target."
3UAU495MIHRDTPJLAA74S9D5OIJUO3,5.0,"A flamboyant farmworker organizer who called himself a modern-day Emiliano Zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said Saturday."
3FSEU3P2NQZOAAJKY8T3HTVQS6ZRR5,5.8,A flotilla of rescue vessels continued its search Saturday for nine people feared dead at sea following an air collision between a Coast Guard aircraft and a Marine Corps helicopter.
3UL5XDRDNBITNI6Q2SA0NBVPAWN58U,6.0,A former chief of the state human services agency has decided not to accept a new job offered by Gov. Pat Quinn to head an expanded trade office in Africa.
3EKZL9T8Y7L7FEGYK6REEUUY5WYCHN,4.2,"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far ."
3SX4X51T8Z8TEG5N45QDS81BHFSAO8,4.0,A former top executive at hedge fund firm ValueAct Capital is one of seven people charged with trading on inside information in Acxiom Corp.
3EHVO81VN4KNSB60492UXYB71Z71HM,4.6,"After a few minor partitioning struggles, it is up and running fine."
3GS542CVJUMT1NP07KGEN7Q0U2559J,4.0,"After a few seconds, you should see a new icon for your printer."
3BJKPTD2QBB1QPWC2XYYH8W8GRWRTI,4.8,"After Afghan President Hamid Karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled."
3V8JSVE8YXP8Y7Q1QX1XQIP4G4OEYH,3.4,"After all, average investors aren't likely to sit down and read an 18-page contract."
366FYU4PTFODE21KMI06HAATIPFKES,3.6,"After all, it's building its new 3-million-square-foot headquarters in Santa Clara - enough to house 11,000 workers."
3IKDQS3DQDZ7B9RIQO9ZE6VD59DCIG,3.4,"* After all these years, Bush is still a millstone around Blair's neck."
3IYI9285WRZ36KBO86UZQ7ADIO2CJS,3.0,"After another crushing loss, Washington State coach Paul Wulff took away the almost bowl-like atmosphere as at least one positive."
3UQVX1UPFRGJ6WI0P5VNWPMV7OK021,5.6,"After a week in which Ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition MPs condemned David Cameron for allowing the peer to attend crucial meetings with Britain's closest and most important ally as the Tories shape foreign policy in preparation for government."
3N3WJQXELRPW3S7MEYH6U9EJAMV2LC,4.4,"""After Beijing was selected, as soon as the ink on the contract was dry, the International Olympic Committee ceded control of the Games to the Communist Party of China,"" said Wallechinsky."
3IVEC1GSLOYJJH1QS95F9BRMERB1JR,4.6,"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue."
